,company_name,product_line,image_link,colour,hexa_code,sleeve type_value,sleeve type_confidance,pattern type_value,pattern type_confidance,pattern_value,pattern_confidance,sleeve length_value,sleeve length_confidance,neck_value,neck_confidance,tops length_value,tops length_confidance
28,ebay,women_tops,https://i.ebayimg.com/images/g/RCMAAOSwzppaRi7U/s-l600.jpg,,,roll-up sleeves,0.960915,solid,0.69423,solid,0.828867,long sleeve,0.991498,,0.423378,regular,0.75298
29,ebay,women_tops,https://i.ebayimg.com/images/g/6~YAAOSwaeRZIqTw/s-l600.jpg,,,cuffed sleeves,0.982835,checked,0.600008,checked,0.999877,long sleeve,0.978026,shirt collar,0.794886,regular,0.709719
30,ebay,women_tops,https://i.ebayimg.com/images/g/5QQAAOSwcXpZnRi1/s-l300.jpg,,,butterfly sleeve,0.565804,solid,0.94409,solid,0.637919,long sleeve,0.814193,,0.251198,regular,0.954733
31,ebay,women_tops,https://i.ebayimg.com/images/g/u2EAAOSwB4NW0c6-/s-l300.jpg,,,no sleeves,0.461814,solid,0.828714,solid,0.532054,no sleeves,0.999112,,0.455783,longline,0.845569
32,ebay,women_tops,https://i.ebayimg.com/images/g/3oEAAOSwux5YU5mI/s-l300.jpg,,,cuffed sleeves,0.669181,geometrical print,0.819342,printed,0.905423,short sleeve,0.5395,,0.337648,regular,0.530109
33,ebay,women_tops,https://i.ebayimg.com/images/g/GdMAAOSwry1aRySO/s-l300.jpg,,,no sleeves,0.967064,striped,0.500252,striped,0.99782,no sleeves,0.597993,,0.212318,regular,0.802248
34,ebay,women_tops,https://i.ebayimg.com/images/g/lIoAAOSwm3paBWhn/s-l300.jpg,,,,0.396577,solid,0.855366,solid,0.959644,long sleeve,0.936649,,0.395279,regular,0.544616
35,ebay,women_tops,https://i.ebayimg.com/images/g/cbAAAOSwWHBaRySY/s-l300.jpg,,,cuffed sleeves,0.913916,solid,0.824989,solid,0.595131,long sleeve,0.995338,,0.399656,regular,0.585796
36,ebay,women_tops,https://i.ebayimg.com/images/g/33kAAOSw3wVaXvkb/s-l300.jpg,,,,0.447143,solid,0.401546,solid,0.810489,three-quarter sleeve,0.496838,,0.60337,regular,0.846395
37,ebay,women_tops,https://i.ebayimg.com/images/g/ZoMAAOSw3q5aXwvH/s-l300.jpg,,,cuffed sleeves,0.904437,solid,0.904421,solid,0.623099,long sleeve,0.953409,,0.431518,longline,0.78801
38,ebay,women_tops,https://i.ebayimg.com/images/g/ofIAAOSwsFpaRySR/s-l300.jpg,,,slit sleeves,0.584494,solid,0.989873,solid,0.973754,three-quarter sleeve,0.542805,,0.636023,regular,0.854397
39,ebay,women_tops,https://i.ebayimg.com/images/g/xb4AAOSwS9pZct0S/s-l300.jpg,,,butterfly sleeve,0.782298,solid,0.971604,solid,0.489037,short sleeve,0.99781,,0.357942,regular,0.958783
40,ebay,women_tops,https://i.ebayimg.com/images/g/SuAAAOSwqbxaRySQ/s-l300.jpg,,,no sleeves,0.945421,solid,0.377191,solid,0.623255,no sleeves,0.941623,,0.312136,regular,0.886264
